 Imunizações - Cobertura - São Paulo,,,,
Coberturas Vacinais por Município e Imunobiológicos,,,,
Imunobiológicos: Sarampo,,,,
Período:1997,coverage,,,
County,measles routine,,,
354230 Redenção da Serra,185.11,,,
354240 Regente Feijó,110.36,,,
354250 Reginópolis,105.48,,,
354260 Registro,112.70,,,
354270 Restinga,100.73,,,
354280 Ribeira,74.47,,,
354290 Ribeirão Bonito,71.90,,,
354300 Ribeirão Branco,107.71,,,
354310 Ribeirão Corrente,87.80,,,
354320 Ribeirão do Sul,117.65,,,
354323 Ribeirão dos Índios,106.98,,,
354325 Ribeirão Grande,128.28,,,
354330 Ribeirão Pires,153.05,,,
354340 Ribeirão Preto,126.73,,,
354360 Rifaina,146.81,,,
354370 Rincão,79.57,,,
354380 Rinópolis,83.78,,,
354390 Rio Claro,121.62,,,
354400 Rio das Pedras,81.10,,,
354410 Rio Grande da Serra,225.39,,,
354420 Riolândia,154.26,,,
354350 Riversul,107.43,,,
354425 Rosana,98.72,,,
354430 Roseira,116.98,,,
354440 Rubiácea,130.30,,,
354450 Rubinéia,140.54,,,
354460 Sabino,98.78,,,
354470 Sagres,136.11,,,
354480 Sales,117.65,,,
354490 Sales Oliveira,96.27,,,
354500 Salesópolis,105.02,,,
354510 Salmourão,115.29,,,
354515 Saltinho,132.31,,,
354520 Salto,93.61,,,
354530 Salto de Pirapora,100.76,,,
354540 Salto Grande,156.57,,,
354550 Sandovalina,111.86,,,
354560 Santa Adélia,140.93,,,
354570 Santa Albertina,183.58,,,
354580 Santa Bárbara d'Oeste,88.16,,,
354600 Santa Branca,59.46,,,
354610 Santa Clara d'Oeste,170.00,,,
354620 Santa Cruz da Conceição,100.00,,,
354630 Santa Cruz das Palmeiras,130.00,,,
354640 Santa Cruz do Rio Pardo,103.88,,,
354650 Santa Ernestina,108.57,,,
354660 Santa Fé do Sul,124.09,,,
354670 Santa Gertrudes,94.24,,,
354680 Santa Isabel,133.94,,,
354690 Santa Lúcia,62.50,,,
354700 Santa Maria da Serra,115.91,,,
354710 Santa Mercedes,132.43,,,
354740 Santa Rita d'Oeste,96.43,,,
354750 Santa Rita do Passa Quatro,99.13,,,
354760 Santa Rosa de Viterbo,146.85,,,
354765 Santa Salete,58.82,,,
354720 Santana da Ponte Pensa,172.73,,,
354730 Santana de Parnaíba,161.03,,,
354770 Santo Anastácio,91.37,,,
354780 Santo André,190.52,,,
354790 Santo Antônio da Alegria,166.67,,,
354800 Santo Antônio de Posse,143.06,,,
354805 Santo Antônio do Aracanguá,82.54,,,
354810 Santo Antônio do Jardim,113.25,,,
354820 Santo Antônio do Pinhal,90.63,,,
354830 Santo Expedito,125.81,,,
354840 Santópolis do Aguapeí,167.11,,,
354850 Santos,155.99,,,
354860 São Bento do Sapucaí,109.55,,,
354870 São Bernardo do Campo,141.29,,,
354880 São Caetano do Sul,319.78,,,
354890 São Carlos,95.21,,,
354900 São Francisco,155.56,,,
354910 São João da Boa Vista,123.75,,,
354920 São João das Duas Pontes,131.11,,,
354925 São João de Iracema,144.44,,,
354930 São João do Pau d'Alho,144.74,,,
354940 São Joaquim da Barra,177.92,,,
354950 São José da Bela Vista,100.48,,,
354960 São José do Barreiro,101.19,,,
354970 São José do Rio Pardo,103.28,,,
354980 São José do Rio Preto,112.78,,,
354990 São José dos Campos,134.20,,,
354995 São Lourenço da Serra,76.19,,,
355000 São Luís do Paraitinga,125.44,,,
355010 São Manuel,87.09,,,
355020 São Miguel Arcanjo,112.42,,,
355030 São Paulo,161.81,,,
355040 São Pedro,140.69,,,
355050 São Pedro do Turvo,98.45,,,
355060 São Roque,132.26,,,
355070 São Sebastião,187.93,,,
355080 São Sebastião da Grama,95.04,,,
355090 São Simão,169.87,,,
355100 São Vicente,101.34,,,
355110 Sarapuí,263.16,,,
355120 Sarutaiá,98.48,,,
355130 Sebastianópolis do Sul,190.63,,,
355140 Serra Azul,85.56,,,
355160 Serra Negra,103.42,,,
355150 Serrana,140.36,,,
355170 Sertãozinho,124.51,,,
355180 Sete Barras,167.67,,,
355190 Severínia,110.63,,,
355200 Silveiras,132.38,,,
355210 Socorro,120.37,,,
355220 Sorocaba,117.74,,,
355230 Sud Mennucci,83.04,,,
355240 Sumaré,108.58,,,
355255 Suzanápolis,66.67,,,
355250 Suzano,158.37,,,
355260 Tabapuã,147.17,,,
355270 Tabatinga,97.67,,,
355280 Taboão da Serra,139.80,,,
355290 Taciba,90.48,,,
355300 Taguaí,104.96,,,
355310 Taiaçu,93.10,,,
355320 Taiúva,108.54,,,
355330 Tambaú,96.20,,,
355340 Tanabi,132.98,,,
355350 Tapiraí,132.42,,,
355360 Tapiratiba,129.23,,,
355365 Taquaral,139.53,,,
355370 Taquaritinga,103.19,,,
355380 Taquarituba,115.23,,,
355385 Taquarivaí,102.15,,,
355390 Tarabai,151.72,,,
355395 Tarumã,112.81,,,
355400 Tatuí,123.35,,,
355410 Taubaté,107.26,,,
355420 Tejupá,96.12,,,
355430 Teodoro Sampaio,131.59,,,
355440 Terra Roxa,110.30,,,
355450 Tietê,140.97,,,
355460 Timburi,138.10,,,
355465 Torre de Pedra,166.67,,,
355470 Torrinha,95.80,,,
355475 Trabiju,117.65,,,
355480 Tremembé,79.22,,,
355490 Três Fronteiras,138.18,,,
355495 Tuiuti,111.67,,,
355500 Tupã,113.30,,,
355510 Tupi Paulista,122.15,,,
355520 Turiúba,157.14,,,
355530 Turmalina,141.18,,,
355540 Ubatuba,106.71,,,
355550 Ubirajara,133.87,,,
355560 Uchoa,96.64,,,
355570 União Paulista,162.50,,,
355580 Urânia,130.77,,,
355590 Uru,113.64,,,
355600 Urupês,103.66,,,
355610 Valentim Gentil,93.22,,,
355620 Valinhos,127.87,,,
355630 Valparaíso,104.09,,,
355635 Vargem,113.16,,,
355640 Vargem Grande do Sul,125.15,,,
355645 Vargem Grande Paulista,122.41,,,
355650 Várzea Paulista,190.05,,,
355660 Vera Cruz,104.15,,,
355670 Vinhedo,130.26,,,
355680 Viradouro,123.27,,,
355690 Vista Alegre do Alto,98.59,,,
355695 Vitória Brasil,86.96,,,
355700 Votorantim,120.89,,,
355710 Votuporanga,123.87,,,
355715 Zacarias,221.43,,,
Total,134.43,,,
 Fonte: Programa Nacional de Imunizações,,,,
 Atenção:,,,,
 ,,,,
