"Sarampo: casos confirmados por município de residência, estado de São Paulo, 1997.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
County,cases,rate ,death,Letalidade,,,,county,,population
LUCÉLIA,9,52.11,,0.00,,,,LUCELIA,14,17271
MAIRINQUE,1,3.09,,0.00,,,,MAIRINQUE,23,32345
MAIRIPORÃ,20,40.09,,0.00,,,,MAIRIPORA,04,49893
MARÍLIA,15,8.44,,0.00,,,,MARILIA,14,177632
MATÃO,3,4.38,,0.00,,,,MATAO,07,68506
MAÚA,616,179.64,2,0.32,,,,MAUA,02,342909
MIRACATU,4,19.03,,0.00,,,,MIRACATU,17,21018
MIRANDÓPOLIS,2,7.99,,0.00,,,,MIRANDOPOLIS,06,25022
MOGI DAS CRUZES,81,25.90,,0.00,,,,MOGI DAS CRUZES,03,312685
MOGI-GUAÇU,11,9.60,,0.00,,,,MOGI-GUACU,20,114546
MOGI-MIRIM,9,11.95,,0.00,,,,MOGI-MIRIM,20,75337
MONTE ALEGRE DO SUL,3,49.95,,0.00,,,,MONTE ALEGRE DO SUL,12,6006
MONTE CASTELO,1,23.70,,0.00,,,,MONTE CASTELO,16,4220
MONTE MOR,4,12.97,,0.00,,,,MONTE MOR,12,30849
MORRO AGUDO,20,85.93,,0.00,,,,MORRO AGUDO,13,23276
NARANDIBA,1,26.43,,0.00,,,,NARANDIBA,16,3784
NAZARÉ PAULISTA,1,8.39,,0.00,,,,NAZARE PAULISTA,12,11916
NOVA ALIANÇA,1,23.61,,0.00,,,,NOVA ALIANCA,22,4235
NOVA CAMPINA,1,17.63,,0.00,,,,NOVA CAMPINA,23,5671
NOVA GRANADA,3,18.20,,0.00,,,,NOVA GRANADA,22,16487
NOVA ODESSA,8,21.38,,0.00,,,,NOVA ODESSA,12,37424
NOVO HORIZONTE,1,3.20,,0.00,,,,NOVO HORIZONTE,22,31237
OLÍMPIA,2,4.46,,0.00,,,,OLIMPIA,09,44879
OSASCO,832,133.57,,0.00,,,,OSASCO,05,622912
OURINHOS,1,1.15,,0.00,,,,OURINHOS,08,86876
OURO VERDE,1,14.33,,0.00,,,,OURO VERDE,16,6976
OUROESTE,1,18.04,,0.00,,,,Ouroeste,,5544
PALMEIRA D'OESTE,2,19.11,,0.00,,,,PALMEIRA D'OESTE,22,10463
PARAGUAÇU PAULISTA,5,13.31,,0.00,,,,PARAGUACU PAULISTA,08,37561
PARAIBUNA,1,7.05,,0.00,,,,PARAIBUNA,21,14179
PARIQUERA-AÇU,2,12.65,,0.00,,,,PARIQUERA-ACU,17,15810
